morphology_code,preferred_term,search_terms
8000/0,"Neoplasm, benign","Neoplasm, benign; Tumor, benign; Tumor, benign, unclassified; Tumor, unclassified, benign; Unclassified tumor, benign"
8000/1,"Neoplasm, uncertain whether benign or malignant","Neoplasm, uncertain whether benign or malignant; Neoplasm, NOS; Tumor, NOS; Tumor, unclassified, borderline malignancy; Tumor, unclassified, uncertain whether benign or malignant; Unclassified tumor, borderline malignancy; Unclassified tumor, uncertain whether benign or malignant"
8000/3,"Neoplasm, malignant","Neoplasm, malignant; Blastoma, NOS; Cancer [see coding guidelines, page 27 of ICD-O-3 manual]; Malignancy; Tumor, malignant, NOS; Tumor, malignant, unclassified; Tumor, unclassified, malignant; Unclassified tumor, malignant"
8000/6,"Neoplasm, metastatic","Neoplasm, metastatic; Embolus, tumor; Metastatic neoplasm; Metastatic tumor; Neoplasm, secondary; Secondary neoplasm; Secondary tumor; Tumor embolus; Tumor, metastatic; Tumor, secondary"
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic","Neoplasm, malignant, uncertain whether primary or metastatic; Tumor, malignant, unclassified, uncertain whether primary or metastatic; Tumor, unclassified, malignant, uncertain whether primary or metastatic; Unclassified tumor, malignant, uncertain whether primary or metastatic"
8001/0,"Tumor cells, benign","Tumor cells, benign"
8001/1,"Tumor cells, uncertain whether benign or malignant","Tumor cells, uncertain whether benign or malignant; Tumor cells, NOS"
8001/3,"Tumor cells, malignant","Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type","Malignant tumor, small cell type; Small cell type, malignant tumor; Tumor, malignant, small cell type; Tumor, small cell type, malignant"
8003/3,"Malignant tumor, giant cell type","Malignant tumor, giant cell type; Giant cell type, malignant tumor; Tumor, giant cell type, malignant; Tumor, malignant, giant cell type"
8004/3,"Malignant tumor, spindle cell type","Malignant tumor, spindle cell type; Fusiform cell type, malignant tumor; Malignant tumor, fusiform cell type; Spindle cell type, malignant tumor; Tumor, fusiform cell type, malignant; Tumor, malignant, fusiform cell type; Tumor, malignant, spindle cell type; Tumor, spindle cell type, malignant"
8005/0,"Clear cell tumor, NOS","Clear cell tumor, NOS; Tumor, clear cell, NOS"
8005/3,"Malignant tumor, clear cell type","Malignant tumor, clear cell type; Clear cell type malignant tumor; Tumor, clear cell type, malignant; Tumor, malignant, clear cell type"
8010/0,"Epithelial tumor, benign","Epithelial tumor, benign; Tumor, epithelial, benign"
8010/2,"Carcinoma in situ, NOS","Carcinoma in situ, NOS; Carcinoma, intraepithelial, NOS; In situ carcinoma, NOS; Intraepithelial carcinoma, NOS"
8010/3,"Carcinoma, NOS","Carcinoma, NOS; Carcinoma, urachal (C65.9, C66.9, C67._, C68._) [2018+]; Epithelial tumor, malignant; Tumor, epithelial, malignant; Urachal carcinoma (C65.9, C66.9, C67._, C68._) [2018+]"
8010/6,"Carcinoma, metastatic, NOS","Carcinoma, metastatic, NOS; Carcinoma, NOS, metastatic; Carcinoma, secondary; Metastatic carcinoma, NOS; Secondary carcinoma"
8010/9,Carcinomatosis,Carcinomatosis
8011/0,"Epithelioma, benign","Epithelioma, benign"
8011/3,"Epithelioma, malignant","Epithelioma, malignant; Epithelioma, NOS"
8012/3,"Large cell carcinoma, NOS","Large cell carcinoma, NOS; Carcinoma, large cell, NOS"
8013/3,Large cell neuroendocrine carcinoma,"Large cell neuroendocrine carcinoma; Carcinoma, combined large cell neuroendocrine (C34._, C37.9) [2018+]; Carcinoma, large cell neuroendocrine combined (C34._, C37.9) [2018+]; Carcinoma, large cell, neuroendocrine; Carcinoma, neuroendocrine, large cell; Carcinoma, neuroendocrine, large cell combined (C34._, C37.9) [2018+]; Combined large cell neuroendocrine carcinoma (C34._, C37.9) [2018+]; Large cell carcinoma, neuroendocrine; Large cell carcinoma, neuroendocrine combined (C34._, C37.9) [2018+]; Neuroendocrine carcinoma, combined large cell (C34._, C37.9) [2018+]; Neuroendocrine carcinoma, large cell"
8014/3,Large cell carcinoma with rhabdoid phenotype,"Large cell carcinoma with rhabdoid phenotype; Carcinoma, large cell, with rhabdoid phenotype; Phenotype, large cell carcinoma with rhabdoid; Rhabdoid phenotype, large cell carcinoma with"
8015/3,Glassy cell carcinoma,"Glassy cell carcinoma; Carcinoma, glassy cell"
8020/3,"Carcinoma, undifferentiated, NOS","Carcinoma, undifferentiated, NOS; Anaplastic undifferentiated carcinoma (C73.9) [2021+]; Carcinoma, anaplastic undifferentiated (C73.9) [2021+]; Carcinoma, dedifferentiated [2021+]; Carcinoma, poorly differentiated urothelial [2024+]; Carcinoma, poorly differentiated, NOS [2021+]; Carcinoma, urothelial, poorly differentiated [2024+]; Dedifferentiated carcinoma [2021+]; Poorly differentiated carcinoma, NOS [2021+]; Poorly differentiated urothelial carcinoma [2024+]; Undifferentiated carcinoma, NOS; Urothelial carcinoma, poorly differentiated [2024+]"
8021/3,"Carcinoma, anaplastic, NOS","Carcinoma, anaplastic, NOS; Anaplastic carcinoma, NOS"
8022/3,Pleomorphic carcinoma,"Pleomorphic carcinoma; Carcinoma, pleomorphic"
